MODE_OF_TRANSPORTATION,WEATHER,GEOPOLITICAL_RISKS,ROUTE_OPTIMIZATION,NO_OF_DELIVERED,CUSTUMER_RATING,EFFICIENCY,EFFICIENT,BEST OR NOT
1,4,0,9,56,2,208.61,1,0
2,3,0,8,5,10,80.31,1,0
3,2,1,9,12,10,107.01,1,0
2,3,1,6,5,2,48.07,0,0
3,4,1,4,94,4,320.09,1,0
2,2,0,1,80,9,281.08,1,0
3,3,0,3,99,4,328.72,1,0
3,1,0,2,77,7,267.98,1,0
2,2,1,5,90,4,307.9,1,0
3,3,1,9,6,4,68.42,0,0
3,4,1,9,75,9,295.71,1,1
3,2,0,9,84,7,311.27,1,1
2,3,1,5,16,1,74.69,1,0
1,3,0,3,54,8,204.92,1,0
2,1,1,3,89,10,319.31,1,0
3,1,0,6,3,6,53,0,0
1,4,0,9,67,8,263.31,1,1
2,4,1,1,47,9,185.88,1,0
3,1,0,5,46,1,161.94,1,0
3,4,0,4,75,7,271.01,1,0
2,4,0,2,11,3,56.26,0,0
1,4,1,2,7,8,63.41,0,0
2,4,1,10,84,3,303.32,1,1
2,4,0,5,56,3,201.22,1,0
1,3,0,6,90,5,311.96,1,0
2,2,1,7,97,5,338.66,1,1
3,2,1,4,33,4,133.85,1,0
1,1,0,5,13,1,60.06,0,0
1,2,1,8,36,10,174.25,1,0
2,4,1,2,85,4,285.76,1,0
1,1,0,6,95,5,325.04,1,0
3,2,0,5,24,9,125.15,1,0
3,1,1,3,64,3,219.86,1,0
3,3,1,10,68,10,280.16,1,1
2,3,1,9,50,3,196.61,1,0
1,1,1,8,90,4,314.84,1,1
1,1,1,4,60,5,215.74,1,0
1,4,1,3,11,7,74.93,1,0
2,2,1,6,70,1,239.78,1,0
2,2,0,10,82,9,314.3,1,1
1,3,1,1,89,5,296.28,1,0
2,3,0,6,11,3,67.33,0,0
1,3,0,6,28,6,128.3,1,0
3,1,1,10,93,6,339.32,1,1
1,1,1,9,7,8,81.52,1,0
1,1,1,4,86,10,312.16,1,0
1,3,0,2,24,4,96.98,1,0
2,2,0,9,36,1,143.72,1,0
1,4,0,10,43,5,183.11,1,0
2,3,1,2,63,8,232.63,1,0
2,2,1,7,70,9,271.44,1,1
1,3,0,8,33,6,149.44,1,0
2,4,0,8,79,2,276.16,1,1
3,2,0,8,36,6,159.71,1,0
2,2,1,8,9,3,68.76,0,0
3,4,0,1,43,1,143.83,1,0
3,4,0,1,17,7,86.79,1,0
2,2,0,2,48,6,176.72,1,0
2,4,0,8,73,4,265.2,1,1
1,4,0,4,13,7,81.55,1,0
1,2,1,3,8,3,49.53,0,0
1,1,0,6,86,8,308.6,1,0
3,3,0,4,35,5,142.04,1,0
3,3,0,7,12,1,67.32,0,0
1,3,0,10,90,5,324.04,1,1
2,2,0,3,33,5,130.86,1,0
2,2,0,10,25,8,138.58,1,0
1,2,0,10,50,4,198.65,1,0
2,4,0,8,88,10,331.98,1,1
3,2,1,5,61,2,214.27,1,0
1,1,0,1,88,7,295.96,1,0
1,3,0,9,71,7,270.8,1,1
3,4,0,9,35,7,165.31,1,0
2,2,0,6,12,6,80.08,1,0
3,3,0,9,19,8,119.56,1,0
1,2,0,10,81,9,310.17,1,1
2,4,0,5,50,3,183.1,1,0
2,2,0,1,77,3,250.54,1,0
1,3,0,9,86,10,326.84,1,1
2,3,1,4,47,6,183.19,1,0
3,2,1,2,7,10,70.77,1,0
2,2,1,9,59,2,219.2,1,0
3,2,0,8,79,7,293.15,1,1
3,2,0,10,68,6,262.39,1,1
1,2,0,5,89,3,297.75,1,0
1,3,0,4,15,6,83,1,0
1,2,1,10,70,6,268.65,1,1
1,3,1,2,98,6,330.06,1,0
3,3,1,3,50,3,179.6,1,0
1,2,0,2,52,7,191.27,1,0
3,4,1,1,76,10,278.15,1,0
1,4,0,8,19,3,97.43,1,0
3,1,0,9,80,8,301.76,1,1
1,1,1,4,57,3,199.52,1,0
1,3,1,8,92,3,319.32,1,1
1,1,0,2,61,6,213.86,1,0
2,2,1,6,59,3,213.72,1,0
2,1,0,4,40,10,171.91,1,0
2,3,1,2,34,5,134.31,1,0
1,3,1,6,32,3,132.08,1,0
1,2,0,7,44,9,189.37,1,0
3,3,0,7,99,2,333.64,1,1
3,4,1,3,99,10,353.65,1,0
2,3,0,1,91,4,297.41,1,0
1,1,0,10,40,2,160.28,1,0
1,1,1,4,53,7,201.76,1,0
3,4,1,2,19,5,91.13,1,0
2,1,0,2,11,5,60.39,0,0
1,2,1,10,34,3,149.19,1,0
3,4,0,7,42,7,180.41,1,0
1,3,1,10,56,4,220.22,1,0
1,4,0,8,11,6,84.01,1,0
2,2,0,6,73,5,260.72,1,0
1,1,0,5,29,2,111.96,1,0
2,3,1,7,1,6,53.33,0,0
3,3,1,2,45,1,154.32,1,0
3,3,0,8,32,4,141.48,1,0
2,4,1,6,47,7,193.82,1,0
3,1,0,1,32,6,125.48,1,0
3,2,0,8,26,9,140.25,1,0
3,1,0,9,10,5,79.62,1,0
3,4,1,2,15,5,79.05,1,0
1,3,1,7,58,6,224.36,1,0
2,4,0,10,69,3,255.58,1,1
3,3,0,10,1,7,64.64,0,0
3,3,0,8,34,8,161.84,1,0
1,2,1,9,24,4,119.55,1,0
3,4,1,2,86,2,282.73,1,0
3,4,0,5,93,10,339.13,1,0
3,3,0,4,37,2,137.34,1,0
3,2,0,7,85,2,290.35,1,1
1,2,0,1,9,2,40.49,0,0
1,2,1,6,97,9,348.85,1,0
2,4,1,9,24,8,137,1,0
2,3,1,2,84,1,270.99,1,0
1,1,1,4,45,6,174.02,1,0
1,4,1,10,92,2,322.79,1,1
3,4,0,4,42,7,171.35,1,0
2,1,0,10,17,5,102.67,1,0
1,4,0,3,93,4,309.39,1,0
3,3,1,8,2,6,60.48,0,0
1,3,1,2,2,6,40.14,0,0
2,4,1,6,68,5,250.08,1,0
1,4,0,9,54,9,227.63,1,0
3,4,1,4,100,8,352.53,1,0
1,4,1,5,81,10,303.11,1,0
2,3,1,3,29,4,118.65,1,0
1,4,0,5,41,4,158.39,1,0
2,2,1,8,52,1,191.46,1,0
1,4,0,6,46,8,190.83,1,0
1,4,0,1,97,3,311.85,1,0
2,3,1,10,52,7,219.99,1,0
2,4,1,10,51,5,210.82,1,0
1,4,1,6,76,7,280.29,1,0
2,2,1,10,25,6,133.86,1,0
3,2,1,7,23,1,101.97,1,0
3,2,1,7,62,1,219.75,1,1
1,4,1,7,37,7,165.53,1,0
3,2,1,9,7,6,77.59,1,0
2,2,0,9,51,1,189.02,1,0
1,4,1,10,69,4,260.49,1,1
3,3,1,8,4,4,59.36,0,0
3,1,1,7,42,9,186.98,1,0
1,2,1,5,78,1,259.81,1,0
1,2,1,9,6,1,54.45,0,0
3,4,0,6,98,3,332.19,1,0
1,1,1,10,64,2,235.2,1,1
1,3,1,10,7,9,90.14,1,0
1,3,0,9,14,7,98.66,1,0
1,1,0,6,25,8,124.38,1,0
2,4,0,2,20,4,87.02,1,0
2,4,0,10,35,2,149.32,1,0
3,2,0,5,4,4,46.85,0,0
1,2,1,8,71,10,279.95,1,1
3,1,0,6,84,8,304.78,1,0
1,3,0,6,49,10,206.04,1,0
3,1,1,4,80,10,296.26,1,0
3,1,1,10,9,9,96.38,1,0
1,1,0,4,5,10,65.1,0,0
1,2,0,8,58,6,223.93,1,0
2,1,1,8,33,2,136.65,1,0
2,3,0,8,1,5,50.33,0,0
1,3,1,10,74,3,271,1,1
2,2,0,3,32,3,120.68,1,0
1,3,0,7,27,7,131.88,1,0
3,3,0,3,81,4,274.36,1,0
1,4,0,5,50,10,207.05,1,0
1,3,1,6,6,10,78.62,1,0
2,3,1,9,99,2,341.01,1,1
3,3,1,6,18,2,88.44,1,0
3,3,1,6,61,7,236.2,1,0
3,2,1,8,46,1,174.45,1,0
3,4,0,9,70,1,249.53,1,1
1,4,0,5,42,1,150.67,1,0
1,4,0,9,65,8,257.27,1,1
3,1,1,6,66,4,238.54,1,0
3,2,1,4,17,6,92.69,1,0
3,4,0,5,45,2,165.53,1,0
3,1,0,5,28,6,125.48,1,0
1,1,1,6,52,6,201.2,1,0
2,1,1,10,57,8,236.65,1,0
2,4,1,6,97,8,348.4,1,0
2,2,0,9,81,2,283.2,1,1
1,1,1,10,99,9,365.96,1,1
2,3,0,5,82,2,275.15,1,0
1,4,1,1,19,1,71.57,1,0
1,3,0,5,19,5,94.52,1,0
3,2,1,2,89,2,289.77,1,0
2,1,0,6,74,5,262.73,1,0
2,3,0,7,49,8,203.01,1,0
2,2,1,1,87,8,301.08,1,0
3,4,0,8,31,1,128.73,1,0
2,3,1,10,24,2,117.53,1,0
1,4,1,3,50,5,185.55,1,0
1,2,0,4,60,2,203.57,1,0
1,3,0,2,58,7,210.4,1,0
1,3,1,5,56,1,194.38,1,0
3,4,0,2,43,1,146.85,1,0
3,1,0,1,34,9,142.26,1,0
3,3,1,2,73,1,238.88,1,0
2,3,0,7,38,9,173.37,1,0
2,2,1,7,48,1,176.36,1,0
1,1,1,2,2,8,45.28,0,0
1,4,1,3,76,4,260.49,1,0
3,4,1,8,66,2,240.45,1,1
1,1,1,4,7,6,59.26,0,0
3,1,1,4,23,9,120.54,1,0
1,2,0,8,82,7,299.99,1,1
3,1,0,3,57,10,221.34,1,0
2,3,0,5,50,3,182.09,1,0
3,1,1,5,9,10,84.86,1,0
2,2,1,6,56,10,229.72,1,0
1,4,0,8,42,1,159.73,1,0
3,4,1,5,64,4,232.51,1,0
1,2,0,2,89,3,288.69,1,0
2,2,0,2,95,6,318.66,1,0
1,4,1,10,42,7,189.69,1,0
3,2,1,9,96,4,339.21,1,1
2,4,1,8,59,5,228.94,1,0
1,1,0,2,87,1,274.48,1,0
2,1,0,5,28,1,106.47,1,0
3,1,0,9,99,3,341.24,1,1
2,3,0,4,37,3,139.81,1,0
2,4,1,4,27,9,134.54,1,0
2,3,1,8,37,3,154.33,1,0
1,4,1,2,5,3,39.47,0,0
2,3,1,6,2,3,42.59,0,0
1,1,0,8,44,4,173.48,1,0
1,1,0,8,79,2,272.02,1,1
2,2,1,2,42,5,157.46,1,0
2,2,0,9,90,3,313.96,1,1
3,4,1,6,21,5,109.25,1,0
1,2,1,1,55,7,199.75,1,0
3,3,0,1,43,9,171.46,1,0
1,3,0,9,3,2,47.54,0,0
3,2,1,2,32,6,131.95,1,0
3,1,1,1,58,8,213.6,1,0
1,1,0,3,2,7,42.28,0,0
2,4,0,8,35,8,164.76,1,0
2,4,1,8,49,7,205.9,1,0
2,3,0,4,30,7,132.99,1,0
2,4,1,5,56,1,196.5,1,0
3,1,1,7,84,5,299.5,1,1
3,4,0,4,81,7,289.13,1,0
1,1,1,10,15,9,112.28,1,0
3,4,0,7,53,1,192.15,1,0
2,4,0,4,33,1,121.58,1,0
3,1,1,4,73,6,260.8,1,0
3,4,1,8,74,7,282.51,1,1
1,3,1,1,88,5,293.26,1,0
3,1,0,5,21,6,104.34,1,0
1,1,1,10,65,6,252.54,1,1
2,4,0,7,50,1,181.98,1,0
3,1,1,9,5,6,70.54,1,0
3,2,0,5,77,9,285.21,1,0
3,2,1,5,16,4,85.53,1,0
2,4,0,7,24,10,135.68,1,0
1,1,1,8,71,3,253.88,1,1
3,3,1,2,34,3,128.26,1,0
3,4,1,2,45,4,166.07,1,0
3,2,0,10,94,9,351.65,1,1
2,1,1,9,81,9,309.69,1,1
2,2,0,4,67,6,240.14,1,0
3,2,1,8,23,10,137.21,1,0
3,2,1,7,70,1,243.91,1,1
3,4,0,6,41,9,181.53,1,0
1,4,1,8,15,2,84.21,1,0
1,3,0,1,61,1,194.96,1,0
1,4,1,1,73,9,263.29,1,0
1,2,1,8,70,8,269.77,1,1
2,1,1,10,64,5,247.05,1,1
3,2,0,1,98,6,325.81,1,0
3,1,0,1,12,9,75.82,1,0
1,4,1,9,57,4,221.23,1,0
2,3,0,2,23,3,91.49,1,0
3,3,1,5,81,3,279.26,1,0
2,2,1,10,50,7,212.94,1,0
2,4,1,8,64,8,254.78,1,1
3,2,0,5,29,8,136.67,1,0
3,4,0,1,77,10,278.73,1,0
1,2,0,5,29,6,127.29,1,0
1,2,0,4,69,4,237.91,1,0
2,1,1,5,91,10,331.39,1,0
1,2,1,2,86,2,278.49,1,0
1,3,0,1,77,2,246.86,1,0
3,3,1,7,34,3,143.36,1,0
1,4,1,9,16,7,108.15,1,0
1,3,1,3,45,10,187.34,1,0
2,3,0,3,46,3,163.97,1,0
2,4,0,4,93,3,309.94,1,0
3,4,1,9,54,2,207.23,1,0
2,3,1,4,2,3,36.55,0,0
3,4,1,8,9,3,71.89,1,0
3,3,0,8,7,2,58.82,0,0
1,3,1,8,47,5,190.58,1,0
1,4,1,10,94,9,353.89,1,1
2,4,0,1,5,1,27.96,0,0
2,4,1,4,42,1,151.2,1,0
3,2,0,7,91,6,322.79,1,1
2,3,1,10,21,7,126.37,1,0
2,3,1,9,72,6,273.79,1,1
2,2,0,7,14,5,85.56,1,0
3,1,1,6,26,10,139.22,1,0
2,1,1,6,96,7,338.77,1,0
2,2,0,4,7,7,62.52,0,0
3,1,0,10,60,2,222.9,1,0
2,2,1,9,46,8,201.42,1,0
1,1,1,1,56,3,187.44,1,0
2,3,1,5,61,8,235.65,1,0
3,2,0,2,38,8,154.79,1,0
1,2,1,2,79,2,257.35,1,0
1,3,0,3,51,2,174.38,1,0
2,3,1,7,17,7,105.23,1,0
1,2,1,3,8,1,42.37,0,0
2,2,1,8,76,5,278.26,1,1
1,3,1,9,3,2,49.98,0,0
1,2,0,4,15,9,92.73,1,0
3,3,0,7,58,2,209.82,1,0
3,2,0,8,38,8,172.91,1,0
2,4,0,8,27,5,129.86,1,0
2,2,1,8,17,3,92.92,1,0
1,2,1,7,17,8,106.69,1,0
1,3,0,9,2,9,69.58,0,0
3,3,1,1,6,10,65.74,0,0
1,3,1,6,61,8,237.56,1,0
1,4,1,3,40,9,169.67,1,0
1,1,0,6,3,10,65.1,0,0
3,1,1,3,43,6,167.18,1,0
3,2,1,1,47,4,167.07,1,0
3,2,1,6,74,9,281.61,1,0
2,4,0,8,58,8,234.22,1,0
2,4,0,7,11,2,67.78,0,0
1,2,0,9,26,7,133.89,1,0
3,4,0,5,6,9,72.81,1,0
1,4,0,4,88,4,297.31,1,0
2,3,0,3,45,5,168.11,1,0
2,4,0,3,69,9,255.92,1,0
2,4,1,7,23,3,110.04,1,0
2,3,1,1,42,10,173.35,1,0
3,2,1,2,32,10,146.27,1,0
1,2,0,2,35,5,132.77,1,0
3,3,0,2,70,9,256.02,1,0
3,3,1,2,80,1,260.02,1,0
1,3,0,3,17,2,71.7,1,0
1,1,0,10,64,7,250.66,1,1
1,2,1,4,83,10,304.11,1,0
2,1,0,7,19,1,85.33,1,0
3,4,0,5,70,3,244.61,1,0
3,4,1,9,22,1,107.01,1,0
1,2,1,9,33,10,168.21,1,0
2,3,0,2,78,5,264.75,1,0
3,2,0,1,60,7,214.63,1,0
1,3,0,1,69,3,226.28,1,0
2,2,1,2,90,5,302.42,1,0
2,1,0,1,29,7,118.89,1,0
3,2,0,6,94,5,325.25,1,0
1,1,1,9,62,8,247.62,1,1
2,4,1,5,99,2,329.94,1,0
2,4,0,8,71,2,252,1,1
3,3,0,10,65,3,243.6,1,1
1,2,0,1,19,10,99.33,1,0
3,4,0,7,85,7,310.27,1,1
3,3,0,7,78,9,295.28,1,1
3,2,0,2,63,8,230.29,1,0
2,3,0,5,33,3,130.75,1,0
1,1,1,6,51,4,191.02,1,0
3,3,1,4,42,1,151.3,1,0
3,1,0,8,60,4,224.02,1,0
2,2,0,2,82,3,268.66,1,0
1,4,1,2,69,7,247.07,1,0
2,2,1,4,47,5,178.6,1,0
1,2,1,3,70,6,247.51,1,0
3,3,1,3,67,10,256,1,0
2,2,1,5,78,10,293.14,1,0
3,3,0,5,75,10,283.76,1,0
1,4,0,8,85,1,289.59,1,1
1,2,1,4,83,7,293.37,1,0
2,4,0,9,42,6,181.76,1,0
1,2,0,2,23,6,100.11,1,0
2,4,0,7,77,9,292.16,1,1
3,1,0,4,59,10,230.4,1,0
1,3,1,2,17,4,78.28,1,0
1,4,0,6,39,5,158.95,1,0
3,4,0,10,89,4,320.67,1,1
1,2,0,3,81,2,263.97,1,0
1,1,0,7,67,3,236.34,1,1
1,1,0,2,89,5,294.84,1,0
1,2,0,8,32,4,138.25,1,0
2,2,0,10,79,10,308.82,1,1
3,2,1,7,95,6,337.31,1,1
1,4,0,8,41,6,174.61,1,0
1,3,1,1,37,1,124.92,1,0
1,3,1,2,14,3,65.64,0,0
3,3,0,1,59,1,191.14,1,0
3,1,0,3,82,6,282.52,1,0
2,3,0,5,75,2,254.01,1,0
1,3,0,1,56,2,183.44,1,0
2,1,0,6,84,4,289.35,1,0
3,1,1,3,71,10,266.06,1,0
2,3,1,9,49,5,200.75,1,0
3,4,0,4,72,2,244.05,1,0
3,1,0,4,32,3,123.8,1,0
3,4,0,2,100,3,326.15,1,0
2,3,0,4,21,5,98.65,1,0
2,4,1,2,83,1,268.98,1,0
2,2,1,3,69,2,231.28,1,0
3,1,1,1,68,7,240.22,1,0
2,2,1,1,85,6,287.88,1,0
1,3,0,6,52,9,211.52,1,0
2,2,0,3,75,7,264.86,1,0
1,4,0,5,33,10,155.71,1,0
3,3,1,3,64,4,225.46,1,0
3,4,1,1,72,3,241.01,1,0
2,1,1,8,20,7,115.29,1,0
2,1,0,9,28,3,125.71,1,0
2,2,0,4,15,10,97.42,1,0
2,2,1,2,65,3,219.76,1,0
2,4,0,4,35,5,141.94,1,0
3,4,0,2,17,3,75.49,1,0
1,1,0,7,78,8,287.46,1,1
2,2,0,5,60,1,204.12,1,0
1,4,0,8,89,7,323.15,1,1
2,4,0,9,78,2,276.16,1,1
1,3,0,6,34,2,132.1,1,0
3,1,1,4,86,6,300.06,1,0
2,3,1,5,93,4,317.97,1,0
2,2,1,10,86,3,307.34,1,1
1,3,0,6,81,4,281.2,1,0
2,4,1,9,83,8,315.18,1,1
3,4,1,4,96,4,326.13,1,0
1,1,0,7,14,10,101.34,1,0
2,3,0,8,40,4,164.53,1,0
1,1,0,3,27,5,110.62,1,0
1,3,0,9,67,3,244.4,1,1
1,1,1,3,75,6,261.6,1,0
1,3,0,3,62,1,204.02,1,0
2,3,0,7,94,2,317.43,1,1
1,1,0,4,68,9,251.78,1,0
2,1,1,9,56,10,237.77,1,0
3,2,1,7,19,2,93.47,1,0
1,3,1,6,12,1,64.52,0,0
2,1,1,5,100,5,340.67,1,0
1,3,0,10,33,1,137.58,1,0
1,2,0,5,6,8,64.99,0,0
2,1,1,8,92,1,311.25,1,1
3,2,1,10,82,6,307.11,1,1
1,2,0,5,27,5,117.67,1,0
2,4,0,5,25,8,125.5,1,0
1,1,1,4,11,8,78.5,1,0
3,1,0,1,44,1,143.82,1,0
1,3,0,7,24,5,115.66,1,0
2,3,1,2,44,3,157.35,1,0
1,2,1,10,60,3,227.71,1,0
3,2,1,3,42,4,158.01,1,0
1,3,1,9,89,2,309.7,1,1
3,3,0,4,58,10,229.4,1,0
1,1,0,8,20,7,111.74,1,0
3,2,1,2,38,5,146.49,1,0
3,3,0,3,59,1,197.18,1,0
1,4,0,9,12,5,86.47,1,0
2,1,1,4,23,8,115.85,1,0
2,4,1,2,48,3,170.44,1,0
2,2,0,10,29,2,129.18,1,0
3,3,1,10,79,2,284.74,1,1
2,3,1,9,85,6,313.05,1,1
1,4,0,8,27,7,135.91,1,0
2,2,0,3,70,4,239.02,1,0
3,2,0,7,21,9,122.13,1,0
2,4,1,10,61,8,251.76,1,1
2,2,0,5,79,1,261.5,1,0
2,4,0,3,75,5,259.72,1,0
1,1,0,1,42,5,149.88,1,0
1,3,1,4,78,5,272.12,1,0
2,3,0,1,12,6,65.99,0,0
3,3,1,5,48,5,186.76,1,0
2,3,0,4,81,1,265.53,1,0
1,4,1,1,78,7,271.23,1,0
1,4,0,2,97,7,329.19,1,0
3,1,1,7,11,5,79.04,1,0
1,2,0,8,39,5,162.97,1,0
3,1,1,4,32,10,151.3,1,0
1,4,1,9,75,8,289.91,1,1
2,1,1,4,54,2,187.99,1,0
1,4,0,5,82,3,278.63,1,0
3,3,0,4,96,10,344.16,1,0
2,2,1,6,50,7,200.86,1,0
2,1,1,8,15,3,85.87,1,0
1,2,0,1,6,6,45.75,0,0
3,4,0,8,54,7,219.67,1,0
2,4,1,9,52,6,214.4,1,0
1,3,0,6,7,4,57.72,0,0
3,4,0,9,55,3,211.39,1,0
1,4,0,5,88,5,303.91,1,0
2,2,1,10,89,4,319.98,1,1
1,4,1,3,11,8,78.51,1,0
2,3,0,2,99,6,331.75,1,0
2,1,1,4,28,6,123.79,1,0
2,1,0,10,85,7,315.19,1,1
3,1,0,9,35,7,162.28,1,0
2,4,0,2,18,2,73.82,1,0
2,1,1,1,95,4,309.91,1,0
2,3,0,7,95,4,327.61,1,1
1,3,1,9,26,2,119.44,1,0
2,2,0,6,21,6,107.26,1,0
2,1,1,7,46,7,190.79,1,0
3,4,0,8,63,1,225.37,1,1
3,1,0,1,15,8,81.3,1,0
1,4,0,6,56,10,228.19,1,0
3,2,0,7,48,4,185.77,1,0
1,1,1,5,85,5,294.26,1,0
1,4,0,8,95,3,326.95,1,1
3,4,1,2,63,7,231.17,1,0
2,2,0,7,28,4,124.26,1,0
2,1,0,10,39,9,183.43,1,0
2,3,1,8,93,9,344.93,1,1
1,2,0,7,21,9,119.91,1,0
3,3,0,7,90,3,310.04,1,1
1,4,1,8,2,2,44.95,0,0
1,1,1,6,69,7,256.12,1,0
2,2,0,5,47,10,197.08,1,0
2,2,1,10,62,2,231.28,1,1
2,4,0,7,69,5,253.68,1,1
1,4,0,2,40,8,160.63,1,0
3,1,0,10,64,9,260.04,1,1
2,1,1,9,93,2,320.87,1,1
1,4,0,3,19,9,103.81,1,0
2,2,0,4,66,6,237.12,1,0
3,3,1,10,92,7,341.9,1,1
2,2,0,8,34,7,156.14,1,0
2,1,1,8,9,2,64.17,0,0
2,1,0,10,3,4,56.81,0,0
3,3,0,3,25,4,105.24,1,0
2,4,1,1,96,8,330.28,1,0
1,3,0,4,84,1,273.48,1,0
3,3,0,10,95,7,348.52,1,1
2,2,1,2,98,1,312.26,1,0
3,4,0,10,12,9,106.03,1,0
2,3,0,4,86,4,291.37,1,0
1,3,1,8,71,7,270.22,1,1
2,4,0,8,57,9,234.78,1,0
1,4,0,3,47,1,159.73,1,0
2,1,0,1,36,5,132.87,1,0
2,2,1,2,87,8,304.1,1,0
2,4,1,5,88,6,311.04,1,0
3,1,0,8,89,1,300.86,1,1
2,2,1,10,21,8,128.94,1,0
2,2,0,4,75,4,257.14,1,0
1,1,0,6,9,2,54.58,0,0
1,3,1,1,12,9,78.06,1,0
1,4,0,8,56,9,230.65,1,0
1,2,1,6,36,6,153.89,1,0
1,3,1,1,76,1,242.7,1,0
2,4,1,1,63,4,216.3,1,0
1,2,0,10,73,8,282.43,1,1
3,3,1,8,2,3,49.74,0,0
1,4,1,6,79,4,278.61,1,0
1,4,1,4,55,7,210.83,1,0
3,1,1,3,17,7,92.24,1,0
1,4,1,7,41,4,166.87,1,0
3,1,1,6,32,9,153.76,1,0
1,3,0,7,72,6,264.2,1,1
3,3,1,8,64,1,229.82,1,1
3,1,1,9,4,9,78.26,1,0
1,1,1,5,96,7,334.64,1,0
1,4,0,4,46,10,191.95,1,0
1,3,0,3,56,1,185.9,1,0
2,3,1,1,4,7,47.85,0,0
2,4,0,3,64,7,233.66,1,0
2,4,1,9,98,8,360.48,1,1
3,2,1,10,86,5,315.61,1,1
1,1,0,6,82,1,271.46,1,0
1,4,0,9,44,8,193.85,1,0
2,1,0,2,76,4,253.11,1,0
2,4,1,4,11,2,61.16,0,0
2,1,1,7,37,8,167.19,1,0
3,4,0,4,14,2,68.89,0,0
3,1,0,5,73,2,247.06,1,0
2,3,0,4,76,1,250.43,1,0
2,3,0,7,64,6,241.15,1,1
1,4,0,10,82,4,297.31,1,1
2,2,1,1,93,4,304.88,1,0
3,2,1,9,3,8,72.67,1,0
1,2,1,5,96,9,342.81,1,0
3,1,0,3,39,6,152.66,1,0
3,3,0,2,9,9,71.8,1,0
1,2,1,10,17,7,112.17,1,0
1,1,0,6,97,8,341.82,1,0
1,1,0,8,23,2,102.9,1,0
1,3,1,6,15,8,98.64,1,0
1,3,0,3,38,2,135.12,1,0
1,4,1,3,40,10,173.25,1,0
2,4,0,3,9,4,56.82,0,0
3,3,1,2,35,2,127.7,1,0
3,2,0,1,79,10,282.75,1,0
3,3,1,2,58,5,207.9,1,0
2,4,1,7,13,7,94.16,1,0
1,4,0,10,24,8,136.47,1,0
3,4,1,6,68,9,265.51,1,0
3,3,1,6,98,7,347.94,1,0
1,4,1,10,2,1,47.41,0,0
2,4,0,9,13,9,104.92,1,0
3,1,1,3,45,1,155.32,1,0
2,1,0,7,65,2,227.83,1,1
1,4,0,3,37,2,133.11,1,0
3,2,1,6,79,10,300.29,1,0
2,1,1,5,34,9,155.67,1,0
2,1,0,4,59,10,229.29,1,0
3,4,0,9,2,8,69.23,0,0
3,1,1,8,59,1,212.7,1,0
2,2,1,4,39,4,150.86,1,0
3,4,0,4,15,5,82.65,1,0
3,3,1,5,68,2,236.42,1,0
2,3,0,3,11,10,83.33,1,0
1,3,1,10,45,7,197.74,1,0
1,4,1,10,93,7,343.71,1,1
1,4,1,6,39,2,150.65,1,0
3,1,0,6,24,9,127.16,1,0
1,3,1,6,18,8,107.7,1,0
2,2,1,1,50,2,167.86,1,0
1,1,0,7,51,7,202.34,1,0
1,4,1,3,29,3,114.97,1,0
2,3,1,6,68,5,249.07,1,0
3,3,0,10,37,8,176.94,1,0
1,2,1,7,47,1,172.23,1,0
3,2,0,7,73,5,264.85,1,1
3,4,1,7,28,7,140.57,1,0
1,2,0,8,96,10,353.01,1,1
3,2,0,5,23,3,100.65,1,0
2,2,1,1,51,9,195.94,1,0
1,2,1,5,20,10,116.87,1,0
2,3,0,8,22,7,120.91,1,0
3,1,0,3,77,8,274.58,1,0
3,4,1,6,74,3,262.15,1,0
3,1,0,7,56,7,219.66,1,0
3,3,0,8,12,9,98.98,1,0
1,1,0,2,72,8,254.24,1,0
2,4,0,2,63,7,227.62,1,0
3,4,0,3,40,9,169.45,1,0
1,2,1,6,6,7,66.87,0,0
2,1,1,9,22,6,120.77,1,0
2,3,0,10,75,3,272.69,1,1
3,1,1,4,72,3,247.04,1,0
2,2,1,4,78,2,261.48,1,0
3,2,1,7,17,7,105.33,1,0
3,3,0,8,76,2,267.2,1,1
1,2,0,1,44,1,142.61,1,0
3,2,1,6,76,6,276.91,1,0
1,1,0,8,50,10,213.08,1,0
2,3,1,6,73,1,249.85,1,0
1,3,1,7,79,7,291.36,1,1
1,3,1,7,41,1,155.12,1,0
2,1,0,3,62,10,235.33,1,0
3,1,1,9,41,5,175.68,1,0
2,1,0,2,53,1,172.91,1,0
1,1,0,2,11,5,59.28,0,0
1,3,0,2,91,4,299.32,1,0
3,2,1,2,31,5,125.35,1,0
3,4,1,5,57,10,232.85,1,0
2,1,1,9,23,10,138.11,1,0
1,4,1,2,5,6,50.21,0,0
2,1,0,1,41,9,162.29,1,0
3,2,0,7,92,9,336.55,1,1
1,1,0,6,85,2,284.1,1,0
1,3,0,9,85,8,316.66,1,1
3,1,0,10,6,4,66.98,0,0
3,1,1,5,87,4,298.94,1,0
3,1,0,8,76,2,265.18,1,1
1,4,1,1,95,4,311.83,1,0
3,2,0,7,4,4,52.89,0,0
3,1,1,1,74,3,244.02,1,0
2,4,1,1,64,10,240.8,1,0
2,2,1,7,73,1,251.86,1,1
3,3,1,3,17,2,76.36,1,0
3,4,0,7,12,4,79.07,1,0
2,3,1,8,57,6,225.47,1,0
